"sample_list","sig_list","expected_list","fitsig_list","actual_list"
"TCGA-3M-AB46-01A-11D-A410-08","SBS1",0.122059006116768,0.122059006116768,0.137566137566138
"TCGA-3M-AB46-01A-11D-A410-08","SBS5",0.184616483612487,0.184616483612487,0.126984126984127
"TCGA-3M-AB46-01A-11D-A410-08","SBS13",0.0542108208317942,0.0542108208317942,0.0740740740740741
"TCGA-3M-AB46-01A-11D-A410-08","SBS40",0.665716654782112,0.665716654782112,0.661375661375661
"TCGA-3M-AB47-01A-22D-A410-08","SBS1",0.318466495569099,0.318466495569099,0.314685314685315
"TCGA-3M-AB47-01A-22D-A410-08","SBS5",0.632778521836434,0.632778521836434,0.685314685314685
"TCGA-B7-5816-01A-21D-1600-08","SBS1",0.232681526931235,0.232681526952324,0.230661040787623
"TCGA-B7-5816-01A-21D-1600-08","SBS5",0.526638193277715,0.52663819328123,0.511954992967651
"TCGA-B7-5816-01A-21D-1600-08","SBS15",0.0747425100469066,0.0747425100503244,0.0963431786216596
"TCGA-B7-5816-01A-21D-1600-08","SBS20",0.163351906439094,0.163351906444725,0.161040787623066
"TCGA-B7-A5TI-01A-11D-A31L-08","SBS1",0.365499004428278,0.365499004428278,0.372688477951636
"TCGA-B7-A5TI-01A-11D-A31L-08","SBS5",0.312351688529459,0.312351688529459,0.330014224751067
"TCGA-B7-A5TI-01A-11D-A31L-08","SBS15",0.130168961351408,0.130168961351408,0.122332859174964
"TCGA-B7-A5TI-01A-11D-A31L-08","SBS20",0.169303393682355,0.169303393682355,0.174964438122333
"TCGA-B7-A5TJ-01A-11D-A31L-08","SBS1",0.393863518452996,0.39386351845448,0.387301587301587
"TCGA-B7-A5TJ-01A-11D-A31L-08","SBS5",0.383318790803549,0.383318790803654,0.476190476190476
"TCGA-B7-A5TJ-01A-11D-A31L-08","SBS17a",0.0372201867940602,0.0372201867941709,0.0412698412698413
"TCGA-B7-A5TJ-01A-11D-A31L-08","SBS17b",0.0998106004399305,0.0998106004405013,0.0952380952380952
"TCGA-B7-A5TK-01A-12D-A31L-08","SBS1",0.585658373910781,0.585658373910781,0.593220338983051
"TCGA-B7-A5TK-01A-12D-A31L-08","SBS40",0.305538622405018,0.305538622405018,0.406779661016949
"TCGA-BR-4183-01A-02D-1126-08","SBS1",0.424454554545721,0.424454554545721,0.3625
"TCGA-BR-4183-01A-02D-1126-08","SBS5",0.102851372956345,0.102851372956345,0.2125
"TCGA-BR-4183-01A-02D-1126-08","SBS40",0.488819003131534,0.488819003131534,0.425
"TCGA-BR-4188-01A-01D-1126-08","SBS1",0.553183715800758,0.553183715850732,0.612244897959184
"TCGA-BR-4188-01A-01D-1126-08","SBS5",0.386831576472642,0.38683157647527,0.387755102040816
"TCGA-BR-4201-01A-01D-1126-08","SBS1",0.343108275562105,0.343108275562105,0.321499013806706
"TCGA-BR-4201-01A-01D-1126-08","SBS5",0.551702977352946,0.551702977352946,0.541748849441157
"TCGA-BR-4201-01A-01D-1126-08","SBS15",0.102949737944724,0.102949737944724,0.136752136752137
"TCGA-BR-4256-01A-01D-1126-08","SBS1",0.183704156578263,0.183704156578263,0.17039586919105
"TCGA-BR-4256-01A-01D-1126-08","SBS5",0.425593009105734,0.425593009105734,0.411359724612737
"TCGA-BR-4256-01A-01D-1126-08","SBS6",0.217725282290715,0.217725282290715,0.218588640275387
"TCGA-BR-4256-01A-01D-1126-08","SBS20",0.180685968477862,0.180685968477862,0.199655765920826
"TCGA-BR-4257-01A-01D-1126-08","SBS1",0.183097771740558,0.183097771741943,0.188142292490119
"TCGA-BR-4257-01A-01D-1126-08","SBS5",0.430203979778712,0.430203979778951,0.462450592885375
"TCGA-BR-4257-01A-01D-1126-08","SBS6",0.199654017471493,0.19965401747212,0.182608695652174
