"sample_list","sig_list","expected_list","fitsig_list","actual_list","diff"
"TCGA-AA-3548-01A-01D-1953-10","SBS5",0.860012708702808,0.860012708702808,0.407407407407407,0.452605301295401
"TCGA-F5-6813-01A-11D-1826-10","SBS5",0.513676959066715,0.513676959066715,0.15819209039548,0.355484868671235
"TCGA-AA-3861-01A-01W-0995-10","SBS5",0.479170910083581,0.479170910083581,0.158469945355191,0.32070096472839
"TCGA-4N-A93T-01A-11D-A36X-10","SBS5",0.46095318564741,0.46095318564741,0.151724137931034,0.309229047716376
"CRC-1","SBS5",0.73159642573381,0.73159642573381,0.447368421052632,0.284228004681178
"TCGA-F5-6813-01A-11D-1826-10","SBS40",0.255963196906796,0.255963196906796,0.525423728813559,0.269460531906763
"sysucc-1163T","SBS5",0.330379905760328,0.330379905760328,0.590361445783133,0.259981540022805
"TCGA-AZ-4681-01A-01D-1408-10","SBS5",0.48357399490929,0.48357399490929,0.224299065420561,0.259274929488729
"TCGA-AD-6895-01A-11D-1924-10","SBS5",0.34849519990387,0.34849519990387,0.596737652922519,0.248242453018649
"TCGA-AZ-4681-01A-01D-1408-10","SBS40",0.127901401387402,0.127901401387402,0.355140186915888,0.227238785528486
"TCGA-G4-6317-02A-11D-2067-10","SBS5",0.418564657268255,0.418564657270926,0.192307692307692,0.226256964960563
"TCGA-AA-3861-01A-01W-0995-10","SBS40",0.142397126583708,0.142397126583708,0.366120218579235,0.223723091995527
"TCGA-AG-3731-01A-11D-1733-10","SBS5",0.441525401048773,0.441525401048773,0.223350253807107,0.218175147241666
"TCGA-AF-A56K-01A-32D-A38X-10","SBS5",0.303053244807298,0.303053244807298,0.0909090909090909,0.212144153898207
"TCGA-4N-A93T-01A-11D-A36X-10","SBS40",0.244932817486006,0.244932817486006,0.455172413793103,0.210239596307097
"TCGA-AA-3858-01A-01W-0900-09","SBS5",0.33695304020508,0.33695304020508,0.129032258064516,0.207920782140564
"sysucc-880T","SBS5",0.245437910168573,0.245437910168573,0.450516585100598,0.205078674932025
"TCGA-AA-3852-01A-01W-0900-09","SBS5",0.376086866755522,0.376086866755598,0.175,0.201086866755522
"TCGA-AF-2693-01A-02D-1733-10","SBS5",0.000144551680477481,0.000144551680477481,0.198529411764706,0.198384860084229
"TCGA-AA-3858-01A-01W-0900-09","SBS40",0.189619733156635,0.189619733156635,0.387096774193548,0.197477041036913
"TCGA-AF-A56K-01A-32D-A38X-10","SBS40",0.265012998284383,0.265012998284383,0.462121212121212,0.197108213836829
"TCGA-AA-3715-01A-01W-0900-09","SBS5",0.280033767277658,0.280033767277658,0.476388364185871,0.196354596908213
