"coloE_sample_names","mse_list_EF","mse_list_EA"
"TCGA-AA-3548-01A-01D-1953-10",8.29201391196058e-22,0.0039069445150123
"TCGA-F5-6813-01A-11D-1826-10",0,0.00446107595944354
"TCGA-AA-3861-01A-01W-0995-10",0,0.00511752421665956
"TCGA-4N-A93T-01A-11D-A36X-10",0,0.00433931603145282
"CRC-1",0,0.0056832488388581
"sysucc-1163T",0,0.000522126762894995
"TCGA-AZ-4681-01A-01D-1408-10",6.03378172550029e-23,0.00928741218465863
"TCGA-AD-6895-01A-11D-1924-10",1.02716263700653e-33,0.00441855212129621
"TCGA-G4-6317-02A-11D-2067-10",0,0.00881464114650925
"TCGA-AG-3731-01A-11D-1733-10",3.5726736678986e-22,0.0003708727450229
"TCGA-AF-A56K-01A-32D-A38X-10",1.02716263700653e-33,0.00360328389666444
"TCGA-AA-3858-01A-01W-0900-09",0,0.000274187459001993
"sysucc-880T",6.80592031323337e-22,0.00306895105495707
"TCGA-AA-3852-01A-01W-0900-09",0,7.72736752391783e-05
"TCGA-AF-2693-01A-02D-1733-10",0,0.00173922835415101
"TCGA-AA-3715-01A-01W-0900-09",0,5.60164303506763e-05
"TCGA-AA-3684-01A-02W-0900-09",0,0.00455427797295747
"CCK81",6.49903025951451e-26,0.00057939932896294
"TCGA-AG-3883-01A-02W-0899-10",0,0.000554094527980861
"sysucc-1370T",0,0.0081068743591065
"TCGA-F5-6861-01A-11D-1924-10",1.60164179251236e-22,1.54748997345454e-05
"TCGA-EI-7004-01A-11D-1924-10",6.28408521422006e-22,4.68604555906673e-06
"sysucc-1317T",2.44868646658769e-24,0.00530063103013893
"1910786",4.23414445104302e-22,0.000101177006155208
"TCGA-EI-6509-01A-11D-1733-10",0,0.0579266762461807
"sysucc-834T",0,0.000328977486818916
"TCGA-A6-6651-01A-21D-1835-10",6.4414391542162e-22,0.00078928705318278
"T3188",0,0.0288636365421831
"TCGA-A6-2675-01A-02D-1719-10",0,0.0027255708574432
"Gp2D",9.57614675483534e-24,0.0100957659436087
"TCGA-AA-3519-01A-02D-1953-10",0,0.00179893313740946
"TCGA-CM-6677-01A-11D-1835-10",0,0.0114630543004434
"T2458",0,0.0177054689493463
"TCGA-D5-6926-01A-11D-1924-10",0,0.000258621954534429
"CRC-4",1.52227033641339e-23,7.58839268375898e-05
"TCGA-CK-4951-01A-01D-1408-10",2.37459896533712e-22,0.000489611882964448
"413LT",0,0.000371871724819382
"TCGA-G4-6311-01A-11D-1719-10",1.21183490688208e-22,0.00334636171762991
"TCGA-AG-3909-01A-01W-1073-09",0,0.000279565938224181
"T3527",0,0.00262365149964211
"TCGA-CK-6751-01A-11D-1835-10",4.26239376807996e-22,0.00231776729001202
"TCGA-CM-4748-01A-01D-1408-10",1.05573316575486e-28,4.00046789331582e-05
"TCGA-CI-6624-01C-11D-1826-10",0,7.82520995741014e-05
"TCGA-AG-3878-01A-02W-0899-10",0,0.0369735345095961
"TCGA-G4-6295-01A-11D-1719-10",0,0.00160289073345138
"TCGA-AA-3979-01A-01W-0995-10",0,0.00894495493087413
"TCGA-AF-A56N-01A-12D-A38X-10",0,0.00481256106963486
"587364",0,0.0195603997302974
"587354",0,0.00484409672951298
"587360",0,0.0158292588908123
"TCGA-EI-6506-01A-11D-1733-10",0,0.000472266141146549
"TCGA-AF-6655-01A-11D-1826-10",0,0.00012452163939372
"TCGA-AY-A71X-01A-12D-A36X-10",4.28247900281159e-22,0.000952230753390103
"TCGA-AF-5654-01A-01D-1657-10",0,0.00252482403305025
"T2384",0,0.00306785546898758
"587322",1.45170128083297e-27,0.00028110558438646
"TCGA-AA-3976-01A-01W-0995-10",0,0.00213394351703155
"587374",2.00296714216273e-30,0.000403383185594662
"TCGA-AG-4022-01A-01D-1733-10",0,0.0267648727371315
"TCGA-DC-5869-01A-01D-1657-10",0,0.00986714493300468
"TCGA-G4-6297-01A-11D-1719-10",0,0.00719393086377155
"TCGA-AA-3848-01A-01W-0900-09",2.97877164731892e-32,0.00551727619739614
"TCGA-AH-6549-01A-11D-1826-10",0,0.000132963992126111
"TCGA-CK-6747-01A-11D-1835-10",1.33592625777256e-23,6.80744549114535e-05
"TCGA-DT-5265-01A-21D-1826-10",0,0.0137003259903988
"TCGA-AA-3692-01A-01W-0900-09",0,0.000123788569736577
"T464",5.06272679860176e-23,0.000782472744456565
"TCGA-AY-A8YK-01A-11D-A40P-10",0,0.000413330624063914
"TCGA-AG-3891-01A-01W-1073-09",0,0.000200684753795032
"TCGA-AZ-6600-01A-11D-1771-10",0,0.000406353311666224
"TCGA-CM-5348-01A-21D-1719-10",0,0.000301692746352103
"T595",1.19691062997125e-22,0.00225646810634716
"T3059",1.60237371373018e-31,0.0011758977092538
"TCGA-CI-6619-01B-11D-1826-10",1.7792737649301e-22,0.000144483877738592
"TCGA-5M-AAT4-01A-11D-A40P-10",0,0.0047928353540672
"587318",2.46519032881566e-32,0.000394671844164126
"TCGA-AA-3952-01A-01W-0995-10",0,0.00276759368078577
"TCGA-AG-A026-01A-32W-A096-10",4.32380003397349e-28,0.000278132461060359
"TCGA-D5-6920-01A-11D-1924-10",3.98888346595892e-22,0.00131552517655158
"TCGA-CM-4747-01A-01D-1408-10",3.70741514294543e-33,0.008874827316753
"T473",0,0.00283568862089352
"CRC-23T",9.30648417772392e-25,0.0047212765220966
"TCGA-AG-A016-01A-01W-A00K-09",0,0.00349014067673407
"TCGA-AF-3914-01A-01W-1073-09",3.30998906327742e-22,0.000198564226679064
"T1194",5.89212101725497e-24,0.00198239588462465
"TCGA-AH-6903-01A-11D-1924-10",0,0.00243425928576072
"T3557",0,0.00994678010353685
"TCGA-AZ-6603-01A-11D-1835-10",0,0.0147647085408795
"HDC82",0,0.00762195368949613
"TCGA-G4-6306-01A-11D-1771-10",0,9.2792310913582e-05
"TCGA-AG-3742-01A-11D-1657-10",0,8.26229933798706e-05
"TCGA-D5-5541-01A-01D-1650-10",0,0.00132034864440281
"TCGA-DM-A282-01A-12D-A16V-10",0,0.000170252737397365
"TCGA-EI-6513-01A-21D-1733-10",0,0.000304148654795435
"T3306",4.40334498769747e-25,0.000835727926376962
"T1182",0,0.000338800024737653
