"Tissue","Quantile","Signature","Scale","Value"
"CHOL","5%","SBS1","genome",1.424
"CHOL","10%","SBS1","genome",1.624
"CHOL","15%","SBS1","genome",1.792
"CHOL","20%","SBS1","genome",2.084
"CHOL","25%","SBS1","genome",2.34
"CHOL","30%","SBS1","genome",2.732
"CHOL","35%","SBS1","genome",3.628
"CHOL","40%","SBS1","genome",4.916
"CHOL","45%","SBS1","genome",5.58
"CHOL","50%","SBS1","genome",6.06
"CHOL","55%","SBS1","genome",7.056
"CHOL","60%","SBS1","genome",7.416
"CHOL","65%","SBS1","genome",8.784
"CHOL","70%","SBS1","genome",10.008
"CHOL","75%","SBS1","genome",13.84
"CHOL","80%","SBS1","genome",15.272
"CHOL","85%","SBS1","genome",20.024
"CHOL","90%","SBS1","genome",26.344
"CHOL","95%","SBS1","genome",40.792
"CHOL","5%","SBS1","exome",0.26
"CHOL","10%","SBS1","exome",0.268
"CHOL","15%","SBS1","exome",0.3
"CHOL","20%","SBS1","exome",0.34
"CHOL","25%","SBS1","exome",0.42
"CHOL","30%","SBS1","exome",0.468
"CHOL","35%","SBS1","exome",0.52
"CHOL","40%","SBS1","exome",0.552
"CHOL","45%","SBS1","exome",0.606
"CHOL","50%","SBS1","exome",0.66
"CHOL","55%","SBS1","exome",0.754
"CHOL","60%","SBS1","exome",0.828
"CHOL","65%","SBS1","exome",0.88
"CHOL","70%","SBS1","exome",0.916
"CHOL","75%","SBS1","exome",1.09
"CHOL","80%","SBS1","exome",1.3
"CHOL","85%","SBS1","exome",4.23800000000001
"CHOL","90%","SBS1","exome",9.07200000000002
"CHOL","95%","SBS1","exome",16.526
"CHOL","5%","SBS2","genome",0.98
"CHOL","10%","SBS2","genome",1.12
"CHOL","15%","SBS2","genome",1.16
"CHOL","20%","SBS2","genome",1.28
"CHOL","25%","SBS2","genome",1.92
"CHOL","30%","SBS2","genome",2.34
"CHOL","35%","SBS2","genome",2.5
"CHOL","40%","SBS2","genome",3.72
